country,country_code,currency_code,reference_profile_id,reference_profile_description,harmonized_wage_point_intl_usd,ppp_factor_lcu_per_intl_usd,gross_monthly_local,gross_monthly_intl_usd,employee_contributions_monthly_local,employee_contributions_monthly_intl_usd,employer_contributions_monthly_local,employer_contributions_monthly_intl_usd,net_before_income_tax_monthly_local,net_before_income_tax_monthly_intl_usd,income_tax_or_withholding_tax_monthly_local,income_tax_or_withholding_tax_monthly_intl_usd,net_after_income_tax_monthly_local,net_after_income_tax_monthly_intl_usd,employer_cost_monthly_local,employer_cost_monthly_intl_usd,social_wedge_before_income_tax_rate,total_wedge_after_income_tax_rate,cost_to_net_before_income_tax_ratio,cost_to_net_after_income_tax_ratio,income_tax_modeled,aggregation_method,below_minimum_wage,national_minimum_wage_monthly_local,note,flcl_e_before_income_tax
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",4500.0,0.88195,3968.78,4500.0,166.7,189.01,446.51,506.28,3802.07,4310.99,600.98,681.42,3201.09,3629.57,4415.28,5006.28,0.138883,0.274997,1.161283,1.379305,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11164377541807
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",4500.0,0.588481,2648.16,4500.0,172.13,292.5,838.14,1424.24,2476.03,4207.5,442.37,751.72,2033.66,3455.78,3486.3,5924.24,0.289782,0.416671,1.408019,1.7143,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02176819305093
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",5000.0,0.716934,3584.67,5000.0,768.99,1072.62,1355.15,1890.2,2815.68,3927.38,218.7,305.05,2596.98,3622.34,4939.82,6890.2,0.430004,0.474276,1.754398,1.902141,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",56.99950654552843
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",5000.0,0.701547,3507.74,5000.0,762.93,1087.5,741.89,1057.5,2744.8,3912.5,407.25,580.5,2337.55,3332.0,4249.62,6057.5,0.354106,0.449939,1.548243,1.817979,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,5000.0,0.752163,3760.82,5000.0,491.54,653.5,931.98,1239.07,3269.28,4346.5,726.58,965.99,2542.7,3380.51,4692.8,6239.07,0.303342,0.458171,1.435425,1.8456,True,single_reference_profile,False,2189.81,,69.66583160631312
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",5000.0,1.107209,5536.05,5000.0,587.29,530.42,548.54,495.43,4948.76,4469.58,483.57,436.75,4465.19,4032.83,6084.59,5495.43,0.186673,0.266148,1.229518,1.362672,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",81.33267096478346
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",5000.0,0.74195,3709.75,5000.0,0.0,0.0,685.93,924.5,3709.75,5000.0,681.95,919.13,3027.8,4080.87,4395.68,5924.5,0.156047,0.311188,1.1849,1.451774,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",5000.0,0.682739,3413.69,5000.0,333.99,489.19,536.37,785.62,3079.7,4510.81,444.68,651.32,2635.02,3859.49,3950.07,5785.62,0.220341,0.332917,1.282611,1.499063,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",77.96588783915986
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",5000.0,0.88195,4409.75,5000.0,185.21,210.0,496.08,562.48,4224.54,4790.0,790.59,896.41,3433.95,3893.59,4905.83,5562.48,0.138874,0.300027,1.16127,1.428626,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11266916914758
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",5000.0,0.588481,2942.41,5000.0,191.26,325.01,931.27,1582.5,2751.15,4674.99,524.08,890.56,2227.07,3784.43,3873.68,6582.5,0.289784,0.425076,1.408023,1.739361,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02149639194835
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",5500.0,0.716934,3943.14,5500.0,843.7,1176.82,1548.6,2160.03,3099.44,4323.19,298.07,415.76,2801.37,3907.43,5491.74,7660.03,0.435618,0.489894,1.771848,1.960377,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",56.43829071165517
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",5500.0,0.701547,3858.51,5500.0,839.23,1196.25,816.07,1163.25,3019.28,4303.75,490.16,698.68,2529.12,3605.07,4674.58,6663.25,0.354106,0.458963,1.548243,1.848302,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,5500.0,0.752163,4136.9,5500.0,540.69,718.85,1034.22,1375.0,3596.2,4781.15,884.0,1175.28,2712.2,3605.87,5171.12,6875.0,0.30456,0.475509,1.437939,1.906612,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",5500.0,1.107209,6089.65,5500.0,657.05,593.43,614.42,554.93,5432.6,4906.57,582.22,525.84,4850.38,4380.73,6704.07,6054.93,0.189656,0.276502,1.234044,1.382174,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",81.03429767148423
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",5500.0,0.74195,4080.72,5500.0,0.0,0.0,754.53,1016.95,4080.72,5500.0,861.6,1161.26,3219.12,4338.74,4835.25,6516.95,0.156047,0.334238,1.1849,1.502039,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",5500.0,0.682739,3755.06,5500.0,378.36,554.18,597.81,875.61,3376.7,4945.82,509.8,746.7,2866.9,4199.12,4352.87,6375.61,0.224259,0.341377,1.28909,1.51832,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",77.57406742256819
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",5500.0,0.88195,4850.73,5500.0,203.71,230.98,545.7,618.74,4647.02,5269.02,980.22,1111.42,3666.8,4157.6,5396.43,6118.74,0.138872,0.320514,1.161267,1.471701,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11282715068789
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",5500.0,0.588481,3236.65,5500.0,210.38,357.5,1024.4,1740.75,3026.27,5142.5,607.26,1031.91,2419.0,4110.59,4261.05,7240.75,0.289783,0.432298,1.408021,1.761487,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02164830991265
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",6000.0,0.716934,4301.6,5999.99,920.9,1284.49,1738.48,2424.88,3380.7,4715.5,376.77,525.53,3003.93,4189.97,6040.08,8424.88,0.440288,0.502667,1.786634,2.010725,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.97112362431275
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",6000.0,0.701547,4209.28,6000.0,915.52,1305.0,890.26,1269.0,3293.76,4695.0,576.25,821.4,2717.51,3873.6,5099.55,7269.0,0.354106,0.467107,1.548243,1.876548,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,6000.0,0.752163,4512.98,6000.0,589.85,784.2,1128.24,1500.0,3923.13,5215.8,1041.41,1384.55,2881.72,3831.25,5641.22,7500.0,0.30456,0.489167,1.437939,1.957587,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",6000.0,1.107209,6643.25,6000.0,726.8,656.43,680.3,614.43,5916.45,5343.57,680.07,614.22,5236.38,4729.35,7323.55,6614.42,0.192134,0.284994,1.237828,1.39859,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",80.7866751733334
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",6000.0,0.74195,4451.7,6000.0,0.0,0.0,823.12,1109.4,4451.7,6000.0,1048.82,1413.6,3402.88,4586.4,5274.82,7109.4,0.156047,0.354882,1.1849,1.550104,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",6000.0,0.682739,4096.43,6000.0,422.73,619.17,659.25,965.6,3673.7,5380.83,579.61,848.96,3094.09,4531.88,4755.68,6965.6,0.227513,0.349391,1.29452,1.537022,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",77.24862179855289
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",6000.0,0.88195,5291.7,6000.0,222.26,252.01,595.31,674.99,5069.44,5747.99,1169.83,1326.41,3899.61,4421.58,5887.01,6674.99,0.138877,0.337591,1.161274,1.509641,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11233874507677
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",6000.0,0.588481,3530.89,6000.0,229.51,390.0,1117.53,1899.01,3301.38,5610.0,703.71,1195.82,2597.66,4414.18,4648.42,7899.01,0.289785,0.441173,1.408024,1.789462,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02155839782453
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",6500.0,0.716934,4660.07,6500.0,991.84,1383.45,1910.75,2665.16,3668.23,5116.55,457.16,637.66,3211.07,4478.89,6570.82,9165.16,0.441739,0.511313,1.791277,2.046301,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.82608486922214
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",6500.0,0.701547,4560.06,6500.0,991.81,1413.75,964.45,1374.75,3568.24,5086.25,665.66,948.85,2902.58,4137.4,5524.51,7874.75,0.354106,0.474599,1.548243,1.903307,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,6500.0,0.752163,4889.06,6500.0,639.0,849.55,1222.26,1625.0,4250.06,5650.45,1198.83,1593.84,3051.23,4056.61,6111.32,8125.0,0.30456,0.500725,1.437939,2.002906,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",6500.0,1.107209,7196.86,6500.0,796.55,719.42,746.18,673.93,6400.31,5780.58,781.23,705.59,5619.08,5074.99,7943.04,7173.93,0.194224,0.292579,1.24104,1.413585,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",80.57759136205678
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",6500.0,0.74195,4822.68,6500.0,0.0,0.0,891.71,1201.85,4822.68,6500.0,1236.05,1665.95,3586.62,4834.05,5714.39,7701.85,0.156047,0.372352,1.1849,1.593249,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",6500.0,0.682739,4437.8,6500.0,439.77,644.13,713.25,1044.69,3998.03,5855.87,664.88,973.85,3333.15,4882.03,5151.05,7544.69,0.223842,0.352919,1.288397,1.545401,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",77.61578010494799
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",6500.0,0.88195,5732.68,6500.0,240.76,272.99,644.93,731.25,5491.91,6227.01,1359.46,1541.43,4132.45,4685.59,6377.6,7231.25,0.138875,0.352037,1.161272,1.543297,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11249783923941
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",6500.0,0.588481,3825.13,6500.0,248.63,422.49,1210.65,2057.25,3576.5,6077.51,804.98,1367.9,2771.51,4709.6,5035.78,8557.25,0.289783,0.449635,1.408019,1.816978,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02176516988519
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",7000.0,0.716934,5018.54,7000.0,1062.78,1482.4,2073.48,2892.15,3955.76,5517.61,537.55,749.79,3418.21,4767.81,7092.02,9892.15,0.442224,0.51802,1.792834,2.074777,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.77766208559312
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",7000.0,0.701547,4910.83,7000.0,1068.11,1522.5,1038.64,1480.5,3842.72,5477.5,758.25,1080.83,3084.47,4396.67,5949.47,8480.5,0.354106,0.481555,1.548243,1.928844,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,7000.0,0.752163,5265.14,7000.0,688.15,914.9,1316.29,1750.0,4576.99,6085.1,1356.25,1803.13,3220.74,4281.97,6581.43,8750.0,0.30456,0.510632,1.437939,2.043453,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",7000.0,1.107209,7750.46,7000.0,856.78,773.82,802.53,724.82,6893.68,6226.18,885.78,800.01,6007.9,5426.17,8552.99,7724.82,0.194004,0.297567,1.2407,1.423623,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",80.59967740348642
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",7000.0,0.74195,5193.65,7000.0,0.0,0.0,960.31,1294.3,5193.65,7000.0,1423.27,1918.28,3770.38,5081.72,6153.96,8294.3,0.156047,0.387324,1.1849,1.632185,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089629
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",7000.0,0.682739,4779.17,7000.0,446.59,654.12,764.46,1119.7,4332.58,6345.88,801.98,1174.65,3530.6,5171.24,5543.63,8119.7,0.218458,0.363124,1.279521,1.570165,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",78.15411899454413
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",7000.0,0.88195,6173.65,7000.0,259.31,294.02,694.55,787.52,5914.34,6705.98,1565.9,1775.5,4348.44,4930.48,6868.2,7787.52,0.138881,0.366873,1.161279,1.579463,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11188157462196
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",7000.0,0.588481,4119.37,7000.0,267.76,455.0,1303.78,2215.5,3851.61,6545.0,906.8,1540.92,2944.8,5004.08,5423.15,9215.5,0.289784,0.456993,1.408022,1.841598,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02164830991265
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",7500.0,0.716934,5377.01,7500.01,1133.72,1581.35,2228.5,3108.38,4243.29,5918.66,617.94,861.92,3625.35,5056.73,7605.51,10608.38,0.442077,0.523327,1.792363,2.097872,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.79230759079144
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",7500.0,0.701547,5261.6,7500.0,1144.4,1631.25,1112.83,1586.25,4117.2,5868.75,854.25,1217.67,3262.95,4651.08,6374.43,9086.25,0.354106,0.488118,1.548243,1.953577,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,7500.0,0.752163,5641.22,7500.0,737.31,980.25,1410.31,1875.0,4903.91,6519.75,1521.36,2022.65,3382.55,4497.1,7051.53,9375.0,0.30456,0.520309,1.437939,2.084675,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",7500.0,1.107209,8304.07,7500.0,898.86,811.83,840.73,759.32,7405.21,6688.18,997.32,900.75,6407.89,5787.42,9144.8,8259.33,0.190227,0.299286,1.234914,1.427117,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",80.97727055342261
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",7500.0,0.74195,5564.62,7500.0,0.0,0.0,1028.9,1386.75,5564.62,7500.0,1610.5,2170.63,3954.12,5329.37,6593.52,8886.75,0.156047,0.400302,1.1849,1.667505,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
